n,i,algo1,algo2,algoR,algo4
4,674,628,367,673,358,
4,675,581,385,683,257,
4,676,545,374,659,287,
4,677,469,337,635,263,
4,678,540,359,610,248,
4,679,560,346,606,320,
4,680,525,360,756,280,
4,681,530,355,604,252,
4,682,635,399,615,248,
4,683,654,382,623,272,
4,684,557,408,594,298,
4,685,582,352,605,249,
4,686,540,389,653,244,
4,687,543,449,574,264,
4,688,565,352,656,262,
4,689,563,340,591,258,
4,690,630,346,592,295,
4,691,532,338,673,269,
4,692,2198,400,601,250,
4,693,570,350,591,249,
4,694,589,355,599,245,
4,695,555,353,568,277,
4,696,542,351,620,296,
4,697,564,334,646,281,
4,698,563,391,635,273,
4,699,565,365,633,249,
4,700,559,350,592,242,
4,701,577,363,585,301,
4,702,620,377,686,274,
4,703,527,383,621,272,
4,704,567,435,609,244,
4,705,715,380,600,248,
4,706,589,350,593,262,
4,707,647,337,652,297,
4,708,539,358,640,241,
4,709,581,383,663,240,
4,710,585,369,603,327,
4,711,554,368,567,306,
4,712,556,317,893,324,
4,713,372,263,425,181,
4,714,352,269,413,188,
4,715,506,396,564,336,
4,716,605,398,688,303,
4,717,512,310,535,248,
4,718,436,291,547,460,
4,719,556,312,652,278,
4,720,436,421,567,250,
4,721,532,322,507,316,
4,722,610,381,635,348,
4,723,583,358,682,361,
4,724,560,400,715,344,
4,725,627,410,685,320,
4,726,573,381,664,346,
4,727,630,423,742,285,
4,728,490,405,600,361,
4,729,565,395,686,287,
4,730,622,392,695,321,
4,731,628,400,655,357,
4,732,558,420,910,382,
4,733,610,370,667,406,
4,734,605,423,690,324,
4,735,617,415,648,328,
4,736,598,340,724,323,
4,737,622,370,623,332,
4,738,462,393,651,300,
4,739,536,404,622,350,
4,740,628,405,593,343,
4,741,515,354,711,337,
4,742,591,413,692,324,
4,743,677,429,741,286,
4,744,583,397,708,278,
4,745,516,379,619,304,
4,746,537,420,737,361,
4,747,505,373,635,299,
4,748,651,443,650,358,
4,749,616,426,757,250,
4,750,630,407,630,376,
4,751,639,422,640,317,
4,752,593,367,710,343,
4,753,589,436,720,362,
4,754,593,395,652,352,
4,755,524,383,563,288,
4,756,565,405,2778,316,
4,757,594,403,733,328,
4,758,628,410,731,318,
4,759,494,385,580,305,
4,760,595,380,664,320,
4,761,557,364,662,328,
4,762,534,334,667,340,
4,763,591,360,721,377,
4,764,538,361,674,305,
4,765,624,407,559,322,
4,766,644,350,610,301,
4,767,516,385,642,306,
4,768,530,362,608,412,
4,769,554,371,688,300,
4,770,634,398,689,432,
4,771,577,278,490,200,
4,772,597,392,647,283,
4,773,679,351,660,346,
4,774,569,420,702,321,
4,775,585,435,689,320,
4,776,593,432,662,353,
4,777,566,475,675,352,
4,778,586,399,568,286,
4,779,560,345,716,356,
4,780,545,396,757,353,
4,781,594,376,580,300,
4,782,506,370,575,316,
4,783,485,356,678,343,
4,784,574,402,744,358,
4,785,569,358,653,372,
4,786,505,356,603,307,
4,787,548,449,709,314,
4,788,606,425,729,292,
4,789,544,360,575,478,
4,790,537,427,729,312,
4,791,591,358,687,386,
4,792,555,450,640,386,
4,793,516,259,467,260,
4,794,398,256,439,189,
4,795,429,245,485,198,
4,796,379,322,398,204,
4,797,363,235,461,191,
4,798,437,256,440,190,
4,799,324,313,418,194,
4,800,360,231,396,180,
4,801,308,264,482,205,
4,802,327,247,420,199,
4,803,365,247,439,184,
4,804,322,242,1283,201,
4,805,366,239,418,222,
4,806,359,235,409,195,
4,807,348,274,430,200,
4,808,326,252,425,172,
4,809,352,234,426,188,
4,810,333,279,479,184,
4,811,349,233,393,185,
4,812,366,259,457,203,
4,813,326,243,436,199,
4,814,328,246,415,189,
4,815,348,223,437,184,
4,816,399,232,447,178,
4,817,320,242,473,200,
4,818,351,223,428,198,
4,819,329,232,463,195,
4,820,337,256,453,175,
4,821,295,221,417,187,
4,822,320,240,500,236,
4,823,314,258,399,203,
4,824,393,241,429,183,
4,825,355,238,499,250,
4,826,317,246,376,196,
4,827,337,244,453,197,
4,828,362,269,448,181,
4,829,315,234,422,201,
4,830,357,213,450,188,
4,831,310,291,407,244,
4,832,540,358,635,293,
4,833,561,354,664,340,
4,834,609,379,667,289,
4,835,615,384,738,305,
4,836,616,391,750,320,
4,837,603,383,715,1059,
4,838,1027,529,1300,313,
4,839,755,415,835,302,
4,840,608,420,748,419,
4,841,626,442,664,330,
4,842,553,351,598,253,
4,843,562,389,639,324,
4,844,591,453,660,327,
4,845,483,464,875,289,
4,846,463,361,559,262,
4,847,534,355,556,248,
4,848,523,305,602,270,
4,849,489,361,553,246,
4,850,493,316,534,285,
4,851,540,303,632,248,
4,852,493,422,667,265,
4,853,543,378,600,290,
4,854,520,371,575,256,
4,855,578,355,551,366,
4,856,522,424,638,318,
4,857,504,356,619,258,
4,858,551,359,620,260,
4,859,583,351,545,259,
4,860,515,319,561,255,
4,861,565,365,593,275,
4,862,546,345,648,273,
4,863,475,373,535,265,
4,864,553,265,520,196,
4,865,397,285,490,193,
4,866,308,222,442,201,
4,867,317,251,429,238,
4,868,327,287,446,198,
4,869,318,276,452,203,
4,870,373,282,448,237,
4,871,358,289,411,190,
4,872,329,231,416,188,
4,873,368,243,461,244,
4,874,359,278,420,193,
4,875,357,245,383,185,
4,876,551,359,495,235,
4,877,360,3016,482,187,
4,878,333,227,446,204,
4,879,315,226,396,201,
4,880,328,292,529,226,
4,881,397,311,442,199,
4,882,359,267,386,188,
4,883,332,240,443,197,
4,884,350,221,409,189,
4,885,305,232,440,190,
4,886,337,251,413,180,
4,887,327,245,447,243,
4,888,351,243,418,202,
4,889,321,236,446,205,
4,890,348,235,419,200,
4,891,313,247,443,233,
4,892,317,234,487,182,
4,893,381,292,481,198,
4,894,370,243,443,240,
4,895,358,241,459,208,
4,896,338,242,540,212,
4,897,414,370,522,209,
4,898,333,275,417,202,
4,899,318,245,421,200,
4,900,321,232,412,190,
4,901,380,283,422,198,
4,902,315,276,460,199,
4,903,323,252,415,217,
4,904,399,282,417,191,
4,905,413,248,430,249,
4,906,319,286,435,180,
4,907,350,265,426,187,
4,908,317,302,435,198,
4,909,491,354,646,210,
4,910,363,235,477,190,
4,911,320,239,445,221,
4,912,319,278,437,200,
4,913,358,289,448,189,
4,914,367,243,394,193,
4,915,366,235,516,227,
